,STATION,DATE,ENTRIES,EXITS
0,1 AV,12/18,182447485457,97743666000
1,1 AV,01/19,565693952448,303127169386
2,1 AV,02/19,399155773364,266023591740
3,1 AV,03/19,264709177974,274230426233
4,1 AV,04/19,257061905237,266127357992
5,1 AV,05/19,281205293488,291032647007
6,1 AV,06/19,261145180404,270457139223
7,1 AV,07/19,286623838592,296875486600
8,1 AV,08/19,274236354113,284356149041
9,1 AV,09/19,255665282060,264720936921
10,1 AV,10/19,262368463604,271695649407
11,1 AV,11/19,133406799363,134646354740
12,1 AV,12/19,84843479215,82767338707
13,1 AV,01/20,84936166857,82864802092
14,1 AV,02/20,40778449487,39975576926
15,1 AV,03/20,724139887,896124567
16,1 AV,04/20,54901743439,58647877459
17,1 AV,05/20,57507265060,59784750581
18,1 AV,06/20,83045655985,84549910491
19,1 AV,07/20,86306435758,87860512327
20,1 AV,08/20,87651887139,89204447384
21,1 AV,09/20,83217215994,84676503999
22,1 AV,10/20,86073356352,87512418641
23,1 AV,11/20,83795836356,85216969554
24,1 AV,12/20,88879420455,90120033065
25,1 AV,01/21,86572627199,87163125793
26,1 AV,02/21,77781173854,78373438909
27,1 AV,03/21,73197959333,73712240647
28,103 ST,12/18,9422564960,36126625231
29,103 ST,01/19,29534196466,112726363866
30,103 ST,02/19,26926016716,102015319414
31,103 ST,03/19,159703240583,219583248936
32,103 ST,04/19,244337581928,284060906359
33,103 ST,05/19,33790890012,120639665494
34,103 ST,06/19,32840495263,116010745591
35,103 ST,07/19,28980186280,44886386269
36,103 ST,08/19,30116345665,25569032743
37,103 ST,09/19,27478593550,23103283415
38,103 ST,10/19,28567881301,24031952038
39,103 ST,11/19,26123315327,21384267911
40,103 ST,12/19,27515215718,23390480807
41,103 ST,01/20,24795497139,21656193616
42,103 ST,02/20,23305489661,20319800652
43,103 ST,03/20,25034794673,21815366392
44,103 ST,04/20,24230169312,21117441765
45,103 ST,05/20,25080272586,21865643034
46,103 ST,06/20,24325480504,21197085392
47,103 ST,07/20,25208231614,21987615000
48,103 ST,08/20,25163160753,21970063178
49,103 ST,09/20,25078430633,21859071113
50,103 ST,10/20,25297390863,22078141755
51,103 ST,11/20,24466164360,21362880791
52,103 ST,12/20,25204921063,22100848578
53,103 ST,01/21,24879439143,21999145055
54,103 ST,02/21,22510118045,19911761370
55,103 ST,03/21,20923445284,18516061699
56,103 ST-CORONA,12/18,4132645319,4194118269
57,103 ST-CORONA,01/19,13425698231,13608829292
